ID,Item,Company,Quantity,Currency,Conversion Rate,ID (Items),Item Code (Items),Qty (Items),Rate (Items),UOM (Items)
BOM-Grade 9 DSE Bookkit- (PA/CA/HS/SST)-001,Grade 9 DSE Bookkit- (PA/CA/HS/SST),Inventre Edu Services Pvt Ltd,1,INR,1,dtqt86evgp,Beehive,1,0,Nos
,,,,,,dtqihog66i,Moments - English Suppl. Rdr,1,0,Nos
,,,,,,dtqakj85ss,Words and Expressions 1,1,0,Nos
,,,,,,dtqske6cj7,Contemporary India - Geography Grade 9,1,0,Nos
,,,,,,dtqsdekgou,India & Contemporary World History Grade 9,1,0,Nos
,,,,,,dtqr65eqrd,Democratic Politics Grade 9,1,0,Nos
,,,,,,dtqnf0qi7g,Economics Textbook,1,0,Nos
,,,,,,dtqubk920a,Panoramic - Indian Painting 9,1,243,Nos
,,,,,,dtqbqh5sm4,Computer applications by Sumita Arora Gr IX,1,0,Nos
,,,,,,dtqscc69l6,Comprehensive Home Science for Class IX- Anju Chauhan,1,0,Nos
,,,,,,dtqpc2lpsd,CM Crown 200 pages Single ruled,12,47.41,Nos
,,,,,,dtqq9dnf3l,CM Crown 200 pages Maths ruled,6,47.41,Nos
,,,,,,dtq0ikpfoe,CM 50 Pages Plain Drawing Book,1,22.93,Nos
,,,,,,dtq883jhb4,CM Long 50 Pages Graph Book,1,22.44,Nos
,,,,,,dtq50715cb,CM 200 Pages OSR Single Ruled Record Book,2,68.36,Nos
,,,,,,dtqrqmgd3e,CM 100 Pages OSR Single Ruled Record Book,2,42.4,Nos
,,,,,,dtq4tptbrg,CM Crown 100 pages Plain Book,1,22.5,Nos
,,,,,,dtqo2ec37g,SAS Flat File,1,13.14,Nos
,,,,,,dtqic6b32p,File Folder,1,4.43,Nos
,,,,,,dtqd6e8ft3,A4 Size Colour Paper Packet (25 sheets),1,19.42,Nos
,,,,,,dtqjn7t55n,Transparent Roll,1,33.75,Nos
,,,,,,dtq8hso3l1,SAS BP Label Sheet,1,4.24,Nos
,,,,,,dtqkmhojco,Poster Paint (6 Shades),1,50,Nos
,,,,,,dtq69l47gg,"Flat Brushes - Size 1,3,5,6",6,88.75,Nos
,,,,,,dtqfubvbbq,A4 Size Plain Sheets (25 sheets),2,18.64,Nos
,,,,,,dtqtd852pb,Opendoor Thinking Assessment-SAS,2,480,Nos
,,,,,,dtq7q308vq,Worksheet,1,300,Nos
,,,,,,dtquv22id2,SAS BP Almanac,1,75,Nos
,,,,,,dtqh49eeeh,SAS BP Mini Almanac,1,10.5,Nos
,,,,,,dtq8ema1fs,SAS BP ID Card,1,78,Nos
,,,,,,dtqiuklur7,DSE KIT,1,0,Nos
BOM-SMS Grade 11 BookkitMandateHumanitiesPhysicalEducationEntrepreneurship-001,SMS Grade 11 BookkitMandateHumanitiesPhysicalEducationEntrepreneurship,Inventre Edu Services Pvt Ltd,1,INR,1,7o4asstean,SMS Grade 11 Mandate,1,0,Nos
,,,,,,7o4kv7ik5e,SMS Grade 11 Humanities,1,0,Nos
,,,,,,7o4c88hvs6,SMS Grade 11 Physical Education,1,0,Nos
,,,,,,7o4ho2jpa6,SMS Grade 11 Entrepreneurship,1,0,Nos
